depth,summands,total_abs_mass,total_monomials,total_weighted_abs_degree_mass,type,family,rank,prime
8,42,42,42,0,A7,A,7,2
2,1,1,1,0,B2,B,2,2
2,11,11,11,0,B3,B,3,2
4,2,2,2,0,B3,B,3,2
2,120,120,120,0,B4,B,4,2
4,63,63,63,0,B4,B,4,2
5,5,10,10,10,B4,B,4,2
6,17,17,17,0,B4,B,4,2
8,3,3,3,0,B4,B,4,2
2,1462,1462,1462,0,B5,B,5,2
4,1294,1294,1294,0,B5,B,5,2
5,115,230,230,230,B5,B,5,2
6,838,853,838,0,B5,B,5,2
7,86,172,172,172,B5,B,5,2
8,352,362,354,4,B5,B,5,2
9,48,96,96,96,B5,B,5,2
10,95,114,105,20,B5,B,5,2
11,7,14,14,14,B5,B,5,2
12,19,25,21,4,B5,B,5,2
14,3,3,3,0,B5,B,5,2
2,20188,20188,20188,0,B6,B,6,2
4,24644,24644,24644,0,B6,B,6,2
5,2180,4360,4360,4360,B6,B,6,2
6,25542,26065,25542,0,B6,B,6,2
7,3282,6564,6564,6564,B6,B,6,2
8,18758,19869,18880,244,B6,B,6,2
9,3470,7012,6940,7012,B6,B,6,2
10,10405,12903,11033,1256,B6,B,6,2
11,2193,4790,4424,4866,B6,B,6,2
12,4829,7289,5561,1464,B6,B,6,2
13,1049,2536,2144,2628,B6,B,6,2
14,1643,2898,2053,852,B6,B,6,2
15,313,862,656,922,B6,B,6,2
16,460,872,586,276,B6,B,6,2
17,60,204,130,224,B6,B,6,2
18,97,181,127,60,B6,B,6,2
19,3,22,8,26,B6,B,6,2
20,14,14,14,0,B6,B,6,2
22,2,2,2,0,B6,B,6,2
8,118,118,118,0,B6,B,6,3
10,146,150,146,0,B6,B,6,3
12,64,64,64,0,B6,B,6,3
14,6,6,6,0,B6,B,6,3
2,1,1,1,0,C2,C,2,2
2,11,11,11,0,C3,C,3,2
3,1,2,2,2,C3,C,3,2
4,2,2,2,0,C3,C,3,2
2,120,120,120,0,C4,C,4,2
3,17,34,34,34,C4,C,4,2
4,63,65,65,4,C4,C,4,2
5,6,12,12,12,C4,C,4,2
6,18,21,20,4,C4,C,4,2
7,1,2,2,2,C4,C,4,2
8,3,3,3,0,C4,C,4,2
2,1462,1462,1462,0,C5,C,5,2
3,253,506,506,506,C5,C,5,2
4,1294,1342,1342,96,C5,C,5,2
5,198,398,398,402,C5,C,5,2
6,864,983,938,148,C5,C,5,2
7,128,276,264,292,C5,C,5,2
8,375,469,427,112,C5,C,5,2
9,56,120,116,128,C5,C,5,2
10,99,129,117,36,C5,C,5,2
