left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
1,1,84,1,1.19047619048,2.0,2.0,2.0,8.0,0.0,A7,A,7,2
1,2,126,1,0.793650793651,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
1,3,36,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
1,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
2,1,126,1,0.793650793651,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
2,2,1773,8,0.451212633954,1.375,1.375,1.375,8.0,0.0,A7,A,7,2
2,3,1980,6,0.30303030303,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
2,4,405,1,0.246913580247,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
2,5,9,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
3,1,36,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
3,2,1980,6,0.30303030303,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
3,3,8436,5,0.0592697961119,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
3,4,4761,3,0.0630119722747,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
3,5,405,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
3,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
4,2,405,1,0.246913580247,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
4,3,4761,3,0.0630119722747,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
4,4,8436,2,0.0237079184448,1.0,1.0,1.0,8.0,0.0,A7,A,7,2
4,5,1980,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
4,6,36,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,3,405,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,4,1980,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,5,1773,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,6,126,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
6,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
6,4,36,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
