class,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
full_support,29093,38,0.130615612003,1.1052631579,1.1052631579,1.1052631579,8.0,0.0,A7,A,7,2
proper_parabolic,11227,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
full_support,5,1,20.0,1.0,1.0,1.0,2.0,0.0,B2,B,2,2
proper_parabolic,3,0,0.0,0.0,0.0,0.0,0.0,0.0,B2,B,2,2
full_support,35,9,25.7142857143,1.33333333333,1.33333333333,1.33333333333,2.44444444445,0.0,B3,B,3,2
proper_parabolic,13,1,7.6923076923,1.0,1.0,1.0,2.0,0.0,B3,B,3,2
full_support,309,97,31.3915857605,2.05154639175,2.0,2.05154639175,3.40206185567,0.103092783505,B4,B,4,2
proper_parabolic,75,11,14.6666666667,1.27272727273,1.27272727273,1.27272727273,2.36363636364,0.0,B4,B,4,2
full_support,3287,1230,37.4201399452,3.57398373984,3.32926829268,3.54471544715,4.63739837398,0.430894308943,B5,B,5,2
proper_parabolic,553,121,21.8806509946,1.89256198347,1.85123966942,1.89256198347,3.19008264463,0.0826446280992,B5,B,5,2
full_support,41005,17922,43.7068650165,7.60992076777,6.39175315255,7.19796897667,6.36949001227,1.68530297958,B6,B,6,2
proper_parabolic,5075,1502,29.5960591133,3.25565912117,3.04860186418,3.23169107856,4.3568575233,0.366178428761,B6,B,6,2
full_support,41005,214,0.521887574686,1.57943925234,1.56074766355,1.56074766355,9.65420560748,0.0,B6,B,6,3
proper_parabolic,5075,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
full_support,5,1,20.0,1.0,1.0,1.0,2.0,0.0,C2,C,2,2
proper_parabolic,3,0,0.0,0.0,0.0,0.0,0.0,0.0,C2,C,2,2
full_support,35,10,28.5714285714,1.4,1.3,1.4,2.5,0.2,C3,C,3,2
proper_parabolic,13,1,7.6923076923,1.0,1.0,1.0,2.0,0.0,C3,C,3,2
full_support,309,107,34.6278317152,2.2523364486,1.99065420561,2.24299065421,3.31775700935,0.504672897197,C4,C,4,2
proper_parabolic,75,12,16.0,1.33333333333,1.25,1.33333333333,2.41666666667,0.166666666667,C4,C,4,2
full_support,3287,1321,40.1886218436,4.14231642695,3.42165026495,4.04996214989,4.5927327782,1.2899318698,C5,C,5,2
proper_parabolic,553,133,24.0506329114,2.06766917293,1.84210526316,2.06015037594,3.13533834587,0.436090225564,C5,C,5,2
full_support,41005,18876,46.0334105597,9.13111888112,6.67731510913,8.41285229921,6.37311930494,3.84551811825,C6,C,6,2
proper_parabolic,5075,1619,31.9014778325,3.74428659667,3.11797405806,3.66769610871,4.3082149475,1.12662137122,C6,C,6,2
full_support,41005,214,0.521887574686,1.57943925234,1.56074766355,1.56074766355,9.65420560748,0.0,C6,C,6,3
proper_parabolic,5075,0,0.0,0.0,0.0,0.0,0.0,0.0,C6,C,6,3
full_support,135,4,2.96296296296,1.0,1.0,1.0,4.0,0.0,D4,D,4,2
proper_parabolic,57,0,0.0,0.0,0.0,0.0,0.0,0.0,D4,D,4,2
full_support,1537,83,5.40013012362,1.51807228916,1.51807228916,1.51807228916,4.69879518072,0.0,D5,D,5,2
proper_parabolic,383,4,1.04438642298,1.0,1.0,1.0,4.0,0.0,D5,D,5,2
full_support,19811,1757,8.86881025693,2.78087649402,2.74160500854,2.77404667046,6.08935685828,0.0648833238474,D6,D,6,2
proper_parabolic,3229,91,2.81820997213,1.47252747253,1.47252747253,1.47252747253,4.63736263736,0.0,D6,D,6,2
full_support,19811,4,0.0201908030892,2.0,1.0,1.0,10.0,0.0,D6,D,6,3
proper_parabolic,3229,0,0.0,0.0,0.0,0.0,0.0,0.0,D6,D,6,3
full_support,47527,8073,16.9861341974,4.37383872167,4.16387959867,4.24873033569,7.27536231884,0.169701474049,E6,E,6,2
proper_parabolic,4313,170,3.94157199165,1.50588235294,1.50588235294,1.50588235294,4.68235294118,0.0,E6,E,6,2
full_support,47527,1028,2.16298104235,2.30350194552,2.27237354085,2.27237354085,8.21984435798,0.0,E6,E,6,3
proper_parabolic,4313,0,0.0,0.0,0.0,0.0,0.0,0.0,E6,E,6,3
full_support,1057,612,57.8997161778,4.35294117647,3.41176470588,4.06535947712,5.40196078431,1.39869281046,F4,F,4,2
proper_parabolic,95,20,21.052631579,1.35,1.3,1.35,2.45,0.1,F4,F,4,2
full_support,1057,72,6.81173131504,1.0,1.0,1.0,5.0,0.0,F4,F,4,3
proper_parabolic,95,0,0.0,0.0,0.0,0.0,0.0,0.0,F4,F,4,3
full_support,9,4,44.4444444444,1.0,1.0,1.0,3.0,0.0,G2,G,2,2
proper_parabolic,3,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,2
full_support,9,2,22.2222222222,1.0,1.0,1.0,2.0,0.0,G2,G,2,3
proper_parabolic,3,0,0.0,0.0,0.0,0.0,0.0,0.0,G2,G,2,3
