ell,total,changed,percentage_changed,type,family,rank,prime,source
0,1,0,0.0,F4,F,4,2,percentage
1,4,0,0.0,F4,F,4,2,percentage
2,9,0,0.0,F4,F,4,2,percentage
3,16,1,6.25,F4,F,4,2,percentage
4,25,4,16.0,F4,F,4,2,percentage
5,36,9,25.0,F4,F,4,2,percentage
6,48,14,29.1666666667,F4,F,4,2,percentage
7,60,19,31.6666666667,F4,F,4,2,percentage
8,71,26,36.6197183098,F4,F,4,2,percentage
9,80,33,41.25,F4,F,4,2,percentage
10,87,39,44.8275862069,F4,F,4,2,percentage
11,92,45,48.9130434783,F4,F,4,2,percentage
12,94,53,56.3829787234,F4,F,4,2,percentage
13,92,66,71.7391304348,F4,F,4,2,percentage
14,87,72,82.7586206896,F4,F,4,2,percentage
15,80,67,83.75,F4,F,4,2,percentage
16,71,56,78.8732394367,F4,F,4,2,percentage
17,60,44,73.3333333334,F4,F,4,2,percentage
18,48,33,68.75,F4,F,4,2,percentage
19,36,22,61.1111111111,F4,F,4,2,percentage
20,25,15,60.0,F4,F,4,2,percentage
21,16,8,50.0,F4,F,4,2,percentage
22,9,4,44.4444444444,F4,F,4,2,percentage
23,4,2,50.0,F4,F,4,2,percentage
24,1,0,0.0,F4,F,4,2,percentage
0,1,0,0.0,F4,F,4,3,percentage
1,4,0,0.0,F4,F,4,3,percentage
2,9,0,0.0,F4,F,4,3,percentage
3,16,0,0.0,F4,F,4,3,percentage
4,25,0,0.0,F4,F,4,3,percentage
5,36,0,0.0,F4,F,4,3,percentage
6,48,0,0.0,F4,F,4,3,percentage
7,60,0,0.0,F4,F,4,3,percentage
8,71,0,0.0,F4,F,4,3,percentage
9,80,0,0.0,F4,F,4,3,percentage
10,87,4,4.59770114943,F4,F,4,3,percentage
11,92,8,8.69565217392,F4,F,4,3,percentage
12,94,12,12.7659574468,F4,F,4,3,percentage
13,92,8,8.69565217392,F4,F,4,3,percentage
14,87,6,6.89655172414,F4,F,4,3,percentage
15,80,4,5.0,F4,F,4,3,percentage
16,71,8,11.2676056338,F4,F,4,3,percentage
17,60,8,13.3333333333,F4,F,4,3,percentage
18,48,8,16.6666666667,F4,F,4,3,percentage
19,36,4,11.1111111111,F4,F,4,3,percentage
20,25,2,8.0,F4,F,4,3,percentage
21,16,0,0.0,F4,F,4,3,percentage
22,9,0,0.0,F4,F,4,3,percentage
23,4,0,0.0,F4,F,4,3,percentage
24,1,0,0.0,F4,F,4,3,percentage
0,1,0,0.0,A7,A,7,2,percentage
1,7,0,0.0,A7,A,7,2,percentage
2,27,0,0.0,A7,A,7,2,percentage
3,76,0,0.0,A7,A,7,2,percentage
4,174,0,0.0,A7,A,7,2,percentage
5,343,0,0.0,A7,A,7,2,percentage
6,602,0,0.0,A7,A,7,2,percentage
7,961,0,0.0,A7,A,7,2,percentage
8,1415,0,0.0,A7,A,7,2,percentage
9,1940,0,0.0,A7,A,7,2,percentage
10,2493,0,0.0,A7,A,7,2,percentage
11,3017,0,0.0,A7,A,7,2,percentage
12,3450,0,0.0,A7,A,7,2,percentage
13,3736,0,0.0,A7,A,7,2,percentage
14,3836,1,0.0260688216893,A7,A,7,2,percentage
15,3736,2,0.0535331905782,A7,A,7,2,percentage
16,3450,2,0.0579710144928,A7,A,7,2,percentage
17,3017,8,0.265164070268,A7,A,7,2,percentage
18,2493,14,0.561572402728,A7,A,7,2,percentage
19,1940,6,0.309278350515,A7,A,7,2,percentage
20,1415,2,0.141342756184,A7,A,7,2,percentage
21,961,2,0.208116545265,A7,A,7,2,percentage
22,602,1,0.166112956811,A7,A,7,2,percentage
23,343,0,0.0,A7,A,7,2,percentage
24,174,0,0.0,A7,A,7,2,percentage
25,76,0,0.0,A7,A,7,2,percentage
26,27,0,0.0,A7,A,7,2,percentage
27,7,0,0.0,A7,A,7,2,percentage
28,1,0,0.0,A7,A,7,2,percentage
0,1,0,0.0,B2,B,2,2,percentage
1,2,0,0.0,B2,B,2,2,percentage
2,2,0,0.0,B2,B,2,2,percentage
3,2,1,50.0,B2,B,2,2,percentage
4,1,0,0.0,B2,B,2,2,percentage
0,1,0,0.0,B3,B,3,2,percentage
1,3,0,0.0,B3,B,3,2,percentage
2,5,0,0.0,B3,B,3,2,percentage
3,7,1,14.2857142857,B3,B,3,2,percentage
4,8,2,25.0,B3,B,3,2,percentage
5,8,2,25.0,B3,B,3,2,percentage
6,7,1,14.2857142857,B3,B,3,2,percentage
7,5,2,40.0,B3,B,3,2,percentage
8,3,2,66.6666666666,B3,B,3,2,percentage
9,1,0,0.0,B3,B,3,2,percentage
0,1,0,0.0,B4,B,4,2,percentage
1,4,0,0.0,B4,B,4,2,percentage
2,9,0,0.0,B4,B,4,2,percentage
3,16,1,6.25,B4,B,4,2,percentage
4,24,3,12.5,B4,B,4,2,percentage
5,32,6,18.75,B4,B,4,2,percentage
6,39,8,20.5128205128,B4,B,4,2,percentage
7,44,10,22.7272727273,B4,B,4,2,percentage
8,46,12,26.0869565217,B4,B,4,2,percentage
9,44,15,34.0909090909,B4,B,4,2,percentage
10,39,17,43.5897435897,B4,B,4,2,percentage
11,32,14,43.75,B4,B,4,2,percentage
12,24,8,33.3333333333,B4,B,4,2,percentage
13,16,6,37.5,B4,B,4,2,percentage
14,9,5,55.5555555556,B4,B,4,2,percentage
15,4,3,75.0,B4,B,4,2,percentage
16,1,0,0.0,B4,B,4,2,percentage
0,1,0,0.0,B5,B,5,2,percentage
1,5,0,0.0,B5,B,5,2,percentage
2,14,0,0.0,B5,B,5,2,percentage
3,30,1,3.33333333333,B5,B,5,2,percentage
4,54,4,7.40740740741,B5,B,5,2,percentage
5,86,10,11.6279069767,B5,B,5,2,percentage
6,125,19,15.2,B5,B,5,2,percentage
7,169,31,18.3431952663,B5,B,5,2,percentage
8,215,45,20.9302325581,B5,B,5,2,percentage
9,259,62,23.9382239382,B5,B,5,2,percentage
10,297,84,28.2828282828,B5,B,5,2,percentage
