type,family,rank,prime,source,total,changed,pct_changed,first_changed_length
A7,A,7,2,percentage,40320,38,0.094246031746,14
B2,B,2,2,percentage,8,1,12.5,3
B3,B,3,2,percentage,48,10,20.8333333333,3
B4,B,4,2,percentage,384,108,28.125,3
B5,B,5,2,percentage,3840,1351,35.1822916667,3
B6,B,6,2,percentage,46080,19424,42.1527777778,3
C2,C,2,2,percentage,8,1,12.5,3
C3,C,3,2,percentage,48,11,22.9166666667,3
C4,C,4,2,percentage,384,119,30.9895833333,3
C5,C,5,2,percentage,3840,1454,37.8645833333,3
C6,C,6,2,percentage,46080,20495,44.4769965278,3
D4,D,4,2,percentage,192,4,2.08333333333,7
D5,D,5,2,percentage,1920,87,4.53125,7
D6,D,6,2,percentage,23040,1848,8.02083333333,7
E6,E,6,2,percentage,51840,8243,15.9008487654,7
F4,F,4,2,percentage,1152,632,54.8611111111,3
G2,G,2,2,percentage,12,4,33.3333333333,4
B6,B,6,3,percentage,46080,214,0.464409722222,15
C6,C,6,3,percentage,46080,214,0.464409722222,15
D6,D,6,3,percentage,23040,4,0.0173611111111,19
E6,E,6,3,percentage,51840,1028,1.98302469136,13
F4,F,4,3,percentage,1152,72,6.25,10
G2,G,2,3,percentage,12,2,16.6666666667,3
