type,family,rank,prime,total,changed,pct_changed,avg_support_size,max_support_size,avg_signed_mass_at_one,max_signed_mass_at_one,avg_abs_mass_at_one,max_abs_mass_at_one,avg_monomial_complexity,max_monomial_complexity,avg_max_coeff,max_max_coeff,avg_max_abs_coeff,max_max_abs_coeff,avg_max_abs_degree,max_max_abs_degree,avg_max_bruhat_depth,max_max_bruhat_depth,avg_degree_zero_ratio,degree_zero_only,genuinely_graded,avg_avg_abs_degree,max_avg_abs_degree,avg_weighted_abs_degree_mass,max_weighted_abs_degree_mass,mild,moderate,wild
A7,A,7,2,40320,38.0,0.094246031746,1.1052631579,2.0,1.1052631579,2.0,1.1052631579,2.0,1.1052631579,2.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0
B2,B,2,2,8,1.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B3,B,3,2,48,10.0,20.8333333333,1.3,4.0,1.3,4.0,1.3,4.0,1.3,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.4,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
B4,B,4,2,384,108.0,28.125,1.92592592593,18.0,1.97222222222,19.0,1.97222222222,19.0,1.97222222222,19.0,1.0,1.0,1.0,1.0,0.0462962962963,1.0,3.2962962963,8.0,0.961988304094,103.0,5.0,0.0380116959064,1.0,0.0925925925926,2.0,72.0,28.0,8.0
B5,B,5,2,3840,1351.0,35.1822916667,3.19689119171,101.0,3.42339008142,140.0,3.42339008142,140.0,3.39674315322,122.0,1.0133234641,5.0,1.0133234641,5.0,0.106587712805,2.0,4.50777202073,14.0,0.93364718857,1213.0,138.0,0.0668782690668,1.0,0.39970392302,42.0,684.0,459.0,208.0
B6,B,6,2,46080,19424.0,42.1527777778,6.13323723229,733.0,7.27321869852,1701.0,7.27321869852,1701.0,6.89126853377,1026.0,1.0767092257,30.0,1.0767092257,30.0,0.18806630972,3.0,6.21385914332,22.0,0.91190750823,16202.0,3222.0,0.0908970315398,1.33333333333,1.58329901153,800.0,7660.0,6685.0,5079.0
C2,C,2,2,8,1.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C3,C,3,2,48,11.0,22.9166666667,1.27272727273,3.0,1.36363636364,3.0,1.36363636364,3.0,1.36363636364,3.0,1.0,1.0,1.0,1.0,0.0909090909091,1.0,2.45454545454,4.0,0.909090909091,10.0,1.0,0.0909090909091,1.0,0.181818181818,2.0,8.0,3.0,0.0
C4,C,4,2,384,119.0,30.9895833333,1.91596638655,14.0,2.15966386555,15.0,2.15966386555,15.0,2.1512605042,15.0,1.00840336134,2.0,1.00840336134,2.0,0.176470588235,2.0,3.2268907563,8.0,0.85868347339,100.0,19.0,0.149019607843,1.33333333333,0.470588235294,8.0,64.0,49.0,6.0
C5,C,5,2,3840,1454.0,37.8645833333,3.27716643741,96.0,3.95254470427,132.0,3.95254470427,132.0,3.86795048143,115.0,1.0447042641,6.0,1.0447042641,6.0,0.276478679505,4.0,4.45942228335,14.0,0.828769230932,1128.0,326.0,0.189669489009,2.0,1.21182943604,38.0,600.0,598.0,256.0
