support_size,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
2,33,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
3,135,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
4,531,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
5,2109,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
6,8411,0,0.0,0.0,0.0,0.0,0.0,0.0,A7,A,7,2
7,29093,38,0.130615612003,1.1052631579,1.1052631579,1.1052631579,8.0,0.0,A7,A,7,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B2,B,2,2
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,B2,B,2,2
2,5,1,20.0,1.0,1.0,1.0,2.0,0.0,B2,B,2,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B3,B,3,2
1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,B3,B,3,2
2,9,1,11.1111111111,1.0,1.0,1.0,2.0,0.0,B3,B,3,2
3,35,9,25.7142857143,1.33333333333,1.33333333333,1.33333333333,2.44444444445,0.0,B3,B,3,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B4,B,4,2
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,B4,B,4,2
2,14,1,7.14285714286,1.0,1.0,1.0,2.0,0.0,B4,B,4,2
3,56,10,17.8571428571,1.3,1.3,1.3,2.4,0.0,B4,B,4,2
4,309,97,31.3915857605,2.05154639175,2.0,2.05154639175,3.40206185567,0.103092783505,B4,B,4,2
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B5,B,5,2
1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,B5,B,5,2
2,20,1,5.0,1.0,1.0,1.0,2.0,0.0,B5,B,5,2
3,84,11,13.0952380952,1.27272727273,1.27272727273,1.27272727273,2.36363636364,0.0,B5,B,5,2
4,443,109,24.6049661399,1.96330275229,1.91743119266,1.96330275229,3.28440366972,0.0917431192661,B5,B,5,2
